,date,basis_factor_shift,profit_factor_shift,consumption_factor_shift,y
370,2016-06-29,-1451.0,270.0,21678.553,1
371,2016-06-30,-1854.0,121.0,18026.716,1
372,2016-07-01,-1650.0,380.0,18463.952,0
373,2016-07-04,-1450.0,655.0,18832.551,1
374,2016-07-05,-2092.0,579.0,30008.841,0
375,2016-07-06,-1371.0,875.0,28034.2588,1
376,2016-07-07,-1243.0,828.0,21536.052,1
377,2016-07-08,-1272.0,826.0,20820.76,1
378,2016-07-11,-684.0,854.0,23253.99,1
379,2016-07-12,-1380.0,761.0,30031.478,1
380,2016-07-13,-1714.0,430.0,30020.032,0
381,2016-07-14,-1964.0,32.0,30007.824,0
382,2016-07-15,-2013.0,-282.0,30001.345,0
383,2016-07-18,-1977.0,-251.0,29237.61,0
384,2016-07-19,-1584.0,-151.0,30027.202,0
385,2016-07-20,-1288.0,97.0,30015.143,1
386,2016-07-21,-413.0,693.0,30013.158,0
387,2016-07-22,-340.0,1112.0,28839.301,0
388,2016-07-25,93.0,1131.0,25023.534,0
389,2016-07-26,-52.0,1172.0,30046.013,0
390,2016-07-27,-161.0,1206.0,30027.363,0
391,2016-07-28,-358.0,949.0,30016.338,0
392,2016-07-29,510.0,1125.0,30019.894,1
393,2016-08-01,763.0,1101.0,28122.355,1
394,2016-08-02,452.0,1062.0,26370.518,0
395,2016-08-03,490.0,968.0,22355.13,1
396,2016-08-04,613.0,921.0,14192.625,1
397,2016-08-05,220.0,691.0,6823.798,0
398,2016-08-08,-227.0,436.0,15847.672,0
399,2016-08-09,144.0,239.0,19572.066,0
400,2016-08-10,198.0,337.0,17612.77,1
401,2016-08-11,94.0,793.0,20628.172,1
402,2016-08-12,37.0,974.0,17440.988,0
403,2016-08-15,86.0,886.0,17489.3,0
404,2016-08-16,-9.0,1016.0,17905.379,0
405,2016-08-17,-33.0,1197.0,15380.3248,0
406,2016-08-18,-209.0,1198.0,17140.764,0
407,2016-08-19,-262.0,1153.0,13523.868,0
408,2016-08-22,-112.0,1085.0,8478.18,0
409,2016-08-23,-58.0,1200.0,20066.76,0
410,2016-08-24,-120.0,1141.0,22447.475,0
411,2016-08-25,-130.0,1124.0,22303.8238,0
412,2016-08-26,457.0,1242.0,21132.734,0
413,2016-08-30,436.0,1181.0,18250.16,1
414,2016-08-31,422.0,1220.0,22556.687,1
415,2016-09-01,636.0,1275.0,21527.294,1
416,2016-09-02,458.0,1473.0,15849.305,1
417,2016-09-05,291.0,1026.0,20043.679,1
418,2016-09-06,178.0,1062.0,22445.995,1
419,2016-09-07,-52.0,1057.0,27096.322,1
420,2016-09-08,-17.0,820.0,29725.592,1
421,2016-09-09,-66.0,809.0,29286.114,1
422,2016-09-12,-20.0,877.0,29061.634,1
423,2016-09-13,266.0,939.0,29299.987,1
424,2016-09-14,44.0,1316.0,26668.548,1
425,2016-09-19,-64.0,1293.0,28843.784,1
426,2016-09-20,-590.0,1274.0,25651.545,1
427,2016-09-21,-748.0,1102.0,30037.911,1
428,2016-09-22,-753.0,766.0,30041.821,1
429,2016-09-23,-675.0,639.0,30045.696,1
430,2016-09-26,-622.0,719.0,30016.348,1
431,2016-09-27,-1129.0,1003.0,30022.512,1
432,2016-09-28,-1038.0,1064.0,30132.187,1
433,2016-09-29,-566.0,1349.0,30111.341,1
434,2016-09-30,-307.0,1643.0,34054.157,1
435,2017-03-06,-314.0,1827.0,64624.5512,1
436,2017-03-07,-465.0,725.0,30169.357,0
437,2017-03-08,-355.0,552.0,30031.149,0
438,2017-03-09,245.0,735.0,29861.398,0
439,2017-03-10,410.0,735.0,31151.243,0
440,2017-03-13,507.0,766.0,29995.004,0
441,2017-03-14,471.0,843.0,27153.326,0
442,2017-03-15,703.0,890.0,24407.36,0
443,2017-03-16,737.0,837.0,22228.861,1
444,2017-03-17,603.0,646.0,21893.232,0
445,2017-03-20,721.0,635.0,20948.569,0
446,2017-03-21,766.0,602.0,24230.962,0
447,2017-03-22,893.0,746.0,23248.561,0
448,2017-03-23,972.0,821.0,17771.551,0
449,2017-03-24,576.0,699.0,22139.925,1
450,2017-03-27,626.0,699.0,19718.686,1
451,2017-03-28,860.0,617.0,17687.415,1
452,2017-03-29,845.0,678.0,18629.315,1
453,2017-03-30,872.0,675.0,20192.359,1
454,2017-03-31,1122.0,765.0,16797.68,1
455,2017-04-05,512.0,675.0,17466.594,1
456,2017-04-06,421.0,766.0,14994.989,1
457,2017-04-07,493.0,763.0,17101.54,1
458,2017-04-10,363.0,771.0,22911.038,1
